Date,GARCH_Forecast,GARCH_Residual_lag1,GARCH_Residual_lag2,ATM_IV,ATM_IV_lag1,ATM_IV_lag2,ATM_IV_5d_mean,Skew,Skew_lag1,TS_Slope,IV_HV_Spread,OI_Change,OI_Change_lag1,PCR_OI,Volume_Change,PCR_Volume,DTE_nearest,Is_expiry_week,Days_since_last_expiry,HV_10,HV_20,HV_30,Target_Binary,Target_Regression,spot,log_return,GARCH_Error,Realized_Vol_proxy
2025-11-04,0.005633960746963092,0.1602044982533392,,0.12258393642599466,0.1231448197140693,0.11843770071756907,0.11963332274956459,0.018296956029339034,0.036534638262815736,-0.004846389937721934,0.04362378490965495,27619.0,81436.0,0.8442742593748499,-7462125.0,0.9597654119967389,21,0,7.0,0.07451898999225079,0.07896015151633971,0.089514647794366,0,-0.0008999995130870436,57827.05,-0.004733961233876049,-0.0008999995130870436,0.004733961233876049
2025-11-06,0.0056806246256499325,-0.6302772194084469,0.1602044982533392,0.12023095493350507,0.12258393642599466,0.1231448197140693,0.12044820436509358,0.010249716294196215,0.018296956029339034,-0.004677632687950087,0.04275646086735434,26001.0,27619.0,0.762591684328499,4774405.0,1.05702986317866,19,0,9.0,0.07171093652360862,0.07747449406615073,0.0894545696270199,0,-0.0009519466106484228,57554.25,-0.00472867801500151,-0.0009519466106484228,0.00472867801500151
2025-11-07,0.005693955535238097,-0.6275595603004555,-0.6302772194084469,0.11691602406105164,0.12023095493350507,0.12258393642599466,0.12026268717043795,-0.002623723791722654,0.010249716294196215,-0.0024194945472898743,0.03801304757575372,42985.0,26001.0,0.9071223228075611,49042160.0,0.9222769818013766,18,0,10.0,0.07867320963843348,0.07890297648529793,0.08931911485326575,0,-0.00010532336891087499,57876.8,0.005588632166327222,-0.00010532336891087499,0.005588632166327222
2025-11-10,0.005218750627754353,0.773682745588373,-0.6275595603004555,0.12353439152121112,0.11691602406105164,0.12023095493350507,0.12128202533116636,0.022325525194626716,-0.002623723791722654,-0.0058836585287699306,0.04719244230734976,60913.0,42985.0,0.9112691102863564,-47025265.0,0.8912385335651317,15,0,13.0,0.0785896052375122,0.07634194921386137,0.08900254926905717,0,-0.004169657737766728,57937.55,0.0010490928899876246,-0.004169657737766728,0.0010490928899876246
2025-11-11,0.005549796031128287,0.13993664318916182,0.773682745588373,0.12265733082322494,0.12353439152121112,0.11691602406105164,0.1211845275529975,0.02713782400444248,0.022325525194626716,-0.00721422625574368,0.04621677703310968,19807.0,60913.0,0.9308737439286818,21190200.0,1.016641682218545,14,0,14.0,0.07190280276291097,0.07644055379011526,0.08547293347512303,0,-0.0020934274767220535,58138.15,0.003456368554406233,-0.0020934274767220535,0.003456368554406233
2025-11-12,0.005478477891390423,0.46612818593183386,0.13993664318916182,0.11762289659291142,0.12265733082322494,0.12353439152121112,0.12019231958638084,0.02839036503199055,0.02713782400444248,-0.004888104943357785,0.04413692635690977,17191.0,19807.0,0.9361237812667579,-6697460.0,0.8406991799092471,13,0,15.0,0.06346304307955554,0.07348597023600165,0.08445008187910273,0,-0.0031333738726406378,58274.65,0.0023451040187497853,-0.0031333738726406378,0.0023451040187497853
2025-11-13,0.005369664193577602,0.319004948601892,0.46612818593183386,0.11997282287708425,0.11762289659291142,0.12265733082322494,0.12014069317509668,-0.01193711511303483,0.02839036503199055,-0.006062920160254781,0.04660997715413408,8627.0,17191.0,0.9459759283583075,14775065.0,0.8657116810658806,12,0,16.0,0.06354412652054796,0.07336284572295017,0.07543379382532622,0,-0.0035300763732684483,58381.95,0.0018395878203091543,-0.0035300763732684483,0.0018395878203091543
2025-11-14,0.005252235053007165,0.2530528784671505,0.319004948601892,0.11497994870527233,0.11997282287708425,0.11762289659291142,0.11975347810394081,0.028590387353244817,-0.01193711511303483,-0.0026230996300002918,0.04297396252832189,29730.0,8627.0,0.9437793024128814,10808785.0,0.8726439770760336,11,0,17.0,0.06289761072347028,0.07200598617695043,0.07536905775284929,0,-0.0029322925242862997,58517.55,0.002319942528720865,-0.0029322925242862997,0.002319942528720865
2025-11-17,0.0051167337769977205,0.32388300849531304,0.2530528784671505,0.12013236040180839,0.11497994870527233,0.11997282287708425,0.11907307188006026,-0.02192019134571116,0.028590387353244817,-0.00847658959259874,0.04624626066012144,95363.0,29730.0,1.196587660582794,7450595.0,0.9169123592890774,8,0,20.0,0.061901922085755866,0.07388609974168694,0.07682925096249427,1,0.002461597567252629,58962.7,0.007578331344250349,0.002461597567252629,0.007578331344250349
2025-11-18,0.0053969314180152776,1.0547987258806257,0.32388300849531304,0.12218482088200858,0.12013236040180839,0.11497994870527233,0.11897856989181699,0.03432876800657034,-0.02192019134571116,-0.010893270430006347,0.05587801282708066,69573.0,95363.0,1.132689382301588,6244160.0,1.0369938207991005,7,0,21.0,0.0633452695450042,0.06630680805492792,0.07083762028857249,0,-0.0043202479569064145,58899.25,-0.0010766834611088635,-0.0043202479569064145,0.0010766834611088635
2025-11-19,0.005252516214190554,-0.1472382894355261,1.0547987258806257,0.11568834373980341,0.12218482088200858,0.12013236040180839,0.11859165932119539,0.09565704491329041,0.03432876800657034,-0.0066137787798030145,0.04913604322820879,12074.0,69573.0,1.322912165791057,67812970.0,0.9683594501609473,6,0,22.0,0.05598302257693509,0.06655230051159462,0.07118103126907098,1,0.0001117466656902098,59216.05,0.005364262879880764,0.0001117466656902098,0.005364262879880764
2025-11-20,0.005249226010478336,0.7428267141171515,-0.1472382894355261,0.10650320208089033,0.11568834373980341,0.12218482088200858,0.1158977351619566,0.040294427755833084,0.09565704491329041,0.0012445776910808143,0.041734720980282136,80261.0,12074.0,1.2435486575957766,-16264990.0,0.9944132500645672,5,1,23.0,0.03983897620845116,0.06476848110060819,0.06790724196728855,0,-0.003028478874780507,59347.7,0.002220747135697829,-0.003028478874780507,0.002220747135697829
2025-11-21,0.005077659209552368,0.3086882207595963,0.7428267141171515,0.10431891716775411,0.10650320208089033,0.11568834373980341,0.11376552885445297,0.11936447484849942,0.040294427755833084,0.007813840149424309,0.03182161635186276,53216.0,80261.0,0.9825838419930298,155300690.0,1.0218607241396285,4,1,24.0,0.06624732280657562,0.07249730081589136,0.07378957337917684,1,0.003043154794408246,58867.7,-0.008120814003960614,0.003043154794408246,0.008120814003960614
2025-11-24,0.005640693394580592,-1.1171936693876447,0.3086882207595963,0.14484686929087853,0.10431891716775411,0.10650320208089033,0.11870843063226699,0.03919501217964616,0.11936447484849942,-0.03169336270730763,0.07223418814368315,46357.0,53216.0,0.8835236001127017,190291925.0,0.7582788800360868,1,1,27.0,0.06716534060192851,0.07261268114719538,0.07224731695516828,0,-0.005091004991186398,58835.35,-0.0005496884033941932,-0.005091004991186398,0.0005496884033941932
2025-11-25,0.0054208940408251504,-0.07354528374851253,-1.1171936693876447,0.10846507676002604,0.14484686929087853,0.10431891716775411,0.11596448180787049,0.02806368280552035,0.03919501217964616,0.0038998360633659968,0.04084478992817277,-858363.0,46357.0,1.1246426658143167,-498208520.0,0.9632336488583154,35,0,28.0,0.06678019249152428,0.06762028683185327,0.07231128339078934,0,-0.0051650627215119186,58820.3,-0.0002558313193132316,-0.0051650627215119186,0.0002558313193132316
2025-11-26,0.004517175103625229,-0.03807634522288726,-0.07354528374851253,0.10878772048510152,0.10846507676002604,0.14484686929087853,0.11458435715693009,0.031118134201231967,0.02806368280552035,0.005574464762749934,0.0336075226591403,161106.0,-858363.0,1.2196723725640073,45035640.0,0.9118925163358437,34,0,1.0,0.0861636256722303,0.07518019782596122,0.07660806557662449,1,0.007443421512989466,59528.05,0.011960596616614695,0.007443421512989466,0.011960596616614695
2025-11-27,0.005790682254736722,1.6251523209664063,-0.03807634522288726,0.10692302227651998,0.10878772048510152,0.10846507676002604,0.11466832119605604,0.030857352635165702,0.031118134201231967,0.006372481454607601,0.03131207672993358,42161.0,161106.0,1.2366885074300555,-1145655.0,0.8981033952385329,33,0,2.0,0.08641431138181381,0.0756109455465864,0.07666670207088944,0,-0.0022816963722891714,59737.3,0.003508985882447551,-0.0022816963722891714,0.003508985882447551
2025-11-28,0.004814299831675571,0.5063134839767006,1.6251523209664063,0.1046814910532943,0.10692302227651998,0.10878772048510152,0.11474083597316409,0.029696834758822052,0.030857352635165702,0.007376536579886073,0.02924559957278708,35574.0,42161.0,1.2358284918011129,-12202795.0,1.0868232789182928,32,0,3.0,0.0870156093421942,0.07543589148050722,0.07584972567149033,0,-0.004556537674419539,59752.7,0.0002577621572560323,-0.004556537674419539,0.0002577621572560323
2025-12-01,0.004710031675688289,0.03760235011964647,0.5063134839767006,0.10801362234237755,0.1046814910532943,0.10692302227651998,0.10737418658346387,0.030394780352489548,0.029696834758822052,0.005253619488385958,0.036932331789278613,40771.0,35574.0,1.141400758475868,19631920.0,0.9705429804492063,29,0,6.0,0.08254882430773314,0.07108129055309893,0.07560743892842789,0,-0.003515229883603397,59681.35,-0.0011948017920848921,-0.003515229883603397,0.0011948017920848921
2025-12-02,0.004640333636907873,-0.17570096962011156,0.03760235011964647,0.10939182555922425,0.10801362234237755,0.1046814910532943,0.10755953634330354,0.01973766977721489,0.030394780352489548,0.006744943264350045,0.03249843335405918,29097.0,40771.0,0.9738907487382804,-15717075.0,1.0231792950224892,28,0,7.0,0.09162390328421323,0.07689339220516507,0.07422439146342813,1,0.0022118555221643504,59273.8,-0.006852189159072223,0.0022118555221643504,0.006852189159072223
