CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,550",-706,"2,100",-,"1,224.85",143.50,130,"1,222.70","1,224.40","1,495","21,900.00",-,-,0.05,"1,59,380",-11.55,0.05,31.76,"8,50,884","-5,104","51,955",
,563,-46,168,-,"1,176.40",140.90,260,"1,172.85","1,176.15","1,495","21,950.00",-,-,0.10,"37,245",-13.00,0.10,32.23,"3,72,303","7,721","25,007",
,"3,418","-1,861","12,281",-,"1,125.65",134.60,65,"1,123.50","1,125.85","1,495","22,000.00",-,-,0.05,845,-14.50,0.10,30.94,"27,68,642","-7,520","1,52,780",
,652,-48,330,-,"1,076.10",123.25,260,"1,072.95","1,075.95","1,495","22,050.00","3,250",0.05,0.10,"14,625",-16.40,0.10,29.65,"6,49,777","32,014","49,446",
,"1,548",-518,"2,200",-,"1,022.10",131.10,455,"1,022.75","1,025.45",260,"22,100.00",-,-,0.10,"59,280",-18.55,0.05,26.83,"15,23,646","14,323","67,552",
,"1,381",-105,"1,214",-,975.70,132.30,130,972.90,975.50,130,"22,150.00",-,-,0.10,"64,090",-20.90,0.10,27.06,"8,07,800","9,413","35,866",
,"7,888","-1,786","13,359",-,924.60,125.30,65,924.00,924.35,"1,495","22,200.00",-,-,0.05,"2,06,960",-23.45,0.05,24.36,"25,13,313","6,270","79,404",
,"3,502",-640,"4,120",-,875.25,125.15,390,872.90,875.15,390,"22,250.00",-,-,0.10,"4,940",-26.90,0.05,23.13,"14,73,877","12,315","41,311",
,"7,398","-1,879","14,542",-,825.55,119.70,65,825.00,825.35,130,"22,300.00",65,0.05,0.10,"2,665",-30.50,0.10,23.16,"30,91,598","11,040","76,713",
,"3,188","-1,385","6,911",-,773.05,113.40,260,772.85,775.15,130,"22,350.00",-,-,0.05,"1,10,110",-34.60,0.05,20.65,"23,37,204","10,384","37,246",
,"3,725","-2,632","43,527",-,723.35,110.35,585,723.00,723.35,780,"22,400.00",-,-,0.05,"1,01,335",-39.25,0.05,19.40,"43,94,718","20,155","69,793",
,"2,210",-949,"21,403",-,674.95,107.05,260,672.50,674.75,260,"22,450.00",-,-,0.10,"24,830",-44.05,0.10,19.24,"37,44,272","15,122","37,776",
,"14,147","-10,651","2,12,286",-,622.05,98.85,130,622.10,623.00,130,"22,500.00",-,-,0.05,"79,105",-49.85,0.05,16.91,"81,66,343","-13,649","1,23,717",
,"3,884","-3,018","63,034",-,572.50,92.35,260,572.30,574.60,390,"22,550.00",-,-,0.05,"1,65,685",-57.55,0.05,15.65,"49,02,080","9,785","36,709",
,"7,272","-11,676","4,03,032",-,522.50,84.05,260,522.50,524.40,520,"22,600.00",-,-,0.05,"10,010",-65.95,0.05,14.39,"79,89,290","29,404","1,02,415",
